,state,county,city,date,description,adl_id,fips_county,CountyState
75,CA,Los Angeles,los angeles,2018-03-01,a piece of paper with negative comments about jewish people was found under a school administrator's door.,5750,6037,Los Angeles County CA
76,CA,Los Angeles,los angeles,2018-04-01,individual received anti-semitic emails to her work email. victim works for a school.,5855,6037,Los Angeles County CA
77,CA,Los Angeles,los angeles,2018-12-01,"anti-semitic note left at a school that included the words ""fake ass jew.""",7005,6037,Los Angeles County CA
78,CA,Los Angeles,los angeles,2019-03-01,swastika vandalism discovered in a school.,11680,6037,Los Angeles County CA
79,CA,Los Angeles,los angeles,2019-04-01,swastika etching discovered on a school window.,11748,6037,Los Angeles County CA
80,CA,Los Angeles,los angeles,2019-04-01,"anti-semitic graffiti that included the words ""das juden"" and a swastika were spray-painted on an exterior wall at an elementary school.",10190,6037,Los Angeles County CA
81,CA,Los Angeles,los angeles,2019-05-01,"a swastika and the message, ""kill the jews,"" was written on a school sign.",11797,6037,Los Angeles County CA
82,CA,Los Angeles,los angeles,2019-05-01,swastika etchings discovered on a school door.,11796,6037,Los Angeles County CA
83,CA,Los Angeles,los angeles,2019-06-01,individual verbally harassed a jewish family outside a jewish school and attacked the parent with a knife.,11835,6037,Los Angeles County CA
84,CA,Los Angeles,los angeles,2019-06-01,"individual yelled ""death to jews,"" at a parent picking up their child from a jewish day school.",11814,6037,Los Angeles County CA
85,CA,Los Angeles,los angeles,2019-10-01,an etching of a swastika was discovered on a classroom door at an elementary school.,10493,6037,Los Angeles County CA
86,CA,Los Angeles,los angeles,2019-10-01,"a teacher at a middle school was harassed with anti-semitic taunts, and later discovered that her classroom door was vandalized with a swastika and other inappropriate graffiti.",10494,6037,Los Angeles County CA
87,CA,Los Angeles,los angeles,2019-10-01,individual walked by a jewish school holding a hammer and yelled he was a nazi.,12006,6037,Los Angeles County CA
88,CA,Los Angeles,los angeles,2019-10-01,elementary school students harassing other students with the sieg heil/heil hitler salute.,9985,6037,Los Angeles County CA
89,CA,Los Angeles,los angeles,2019-11-01,"swastika graffiti and ""kill the jews"" was spray-painted in the vicinity of a synagogue and non-jewish school.",10836,6037,Los Angeles County CA
90,CA,Los Angeles,los angeles,2019-11-01,swastika etching discovered on a school door.,12088,6037,Los Angeles County CA
91,CA,Los Angeles,los angeles,2019-12-01,swastika graffiti discovered at an elementary school.,12222,6037,Los Angeles County CA
92,CA,Los Angeles,los angeles,2019-12-01,a student defaced school property with a swastika drawing.,12168,6037,Los Angeles County CA
93,CA,Los Angeles,marina del ray,2019-04-01,swastika vandalism discovered at a school.,11744,6037,Los Angeles County CA
94,CA,Los Angeles,north hollywood,2019-04-01,swastika vandalism discovered at a school.,11745,6037,Los Angeles County CA
95,CA,Los Angeles,north hollywood,2019-09-01,a swastika etching was discovered on a desk at a middle school.,10438,6037,Los Angeles County CA
96,CA,Los Angeles,northridge,2016-04-01,swastika and other graffiti found on school wall.,1795,6037,Los Angeles County CA
97,CA,Los Angeles,northridge,2019-11-01,"two swastikas and the message, ""we are ready to kill everyone"" was found on bathroom wall at a high school.",12076,6037,Los Angeles County CA
98,CA,Los Angeles,pacific palisades,2017-04-01,anti-semitic graffiti in school.,2868,6037,Los Angeles County CA
99,CA,Los Angeles,pasadena,2017-02-01,child drew swastika and showed it to a jewish classmate.,2816,6037,Los Angeles County CA
100,CA,Los Angeles,santa clarita,2019-10-01,high school bathroom vandalized with swastika etching.,10818,6037,Los Angeles County CA
101,CA,Los Angeles,santa clarita,2019-10-01,"swastikas, anti-semitic slurs, racial slurs, and other offensive graffiti were discovered at a high school.",10819,6037,Los Angeles County CA
