CountyState,state,FIPS,county,county_seat,population_2010,Land Area (km²),Land Area (mi²),Water Area (km²),Water Area (mi²),Total Area (km²),Total Area (mi²),latitude,longitude
Effingham County GA,GA,13103.0,Effingham,Springfield,"52,250","1,237.24",477.7,13.548,5.231,"1,250.78",482.931,32.361711,-81.343337
Elbert County GA,GA,13105.0,Elbert,Elberton,"20,166",909.229,351.055,59.987,23.161,969.216,374.216,34.115017,-82.842057
Emanuel County GA,GA,13107.0,Emanuel,Swainsboro,"22,598","1,762.76",680.604,24.807,9.578,"1,787.56",690.182,32.5911,-82.299763
Evans County GA,GA,13109.0,Evans,Claxton,"11,000",473.586,182.853,10.404,4.017,483.99,186.87,32.151902,-81.887618
Fannin County GA,GA,13111.0,Fannin,Blue Ridge,"23,682","1,001.61",386.723,13.564,5.237,"1,015.17",391.96,34.863837,-84.319287
Fayette County GA,GA,13113.0,Fayette,Fayetteville,"106,567",503.344,194.342,12.897,4.979,516.241,199.321,33.412717,-84.493941
Floyd County GA,GA,13115.0,Floyd,Rome,"96,317","1,320.66",509.911,22.156,8.555,"1,342.82",518.466,34.263677,-85.21373
Forsyth County GA,GA,13117.0,Forsyth,Cumming,"175,511",580.211,224.021,59.947,23.145,640.157,247.166,34.225143,-84.127336
Franklin County GA,GA,13119.0,Franklin,Carnesville,"22,084",677.273,261.497,12.832,4.955,690.105,266.452,34.375155,-83.227291
Fulton County GA,GA,13121.0,Fulton,Atlanta,"920,581","1,363.98",526.635,19.917,7.69,"1,383.90",534.325,33.790034,-84.468182
Gilmer County GA,GA,13123.0,Gilmer,Ellijay,"28,292","1,104.73",426.54,12.19,4.706,"1,116.92",431.246,34.690541,-84.453984
Glascock County GA,GA,13125.0,Glascock,Gibson,"3,082",372.284,143.74,1.848,0.713,374.132,144.453,33.227491,-82.606913
Glynn County GA,GA,13127.0,Glynn,Brunswick,"79,626","1,087.16",419.753,428.63,165.495,"1,515.79",585.248,31.212747,-81.496517
Gordon County GA,GA,13129.0,Gordon,Calhoun,"55,186",921.539,355.808,5.788,2.235,927.327,358.043,34.509667,-84.873862
Grady County GA,GA,13131.0,Grady,Cairo,"25,011","1,177.22",454.527,14.859,5.737,"1,192.08",460.264,30.875863,-84.244772
Greene County GA,GA,13133.0,Greene,Greensboro,"15,994","1,003.45",387.435,48.628,18.775,"1,052.08",406.21,33.576836,-83.167103
Gwinnett County GA,GA,13135.0,Gwinnett,Lawrenceville,"805,321","1,114.69",430.383,16.556,6.392,"1,131.24",436.775,33.959101,-84.022938
Habersham County GA,GA,13137.0,Habersham,Clarkesville,"43,041",716.752,276.74,5.92,2.286,722.672,279.026,34.635108,-83.526406
Hall County GA,GA,13139.0,Hall,Gainesville,"179,684","1,017.30",392.782,94.568,36.513,"1,111.87",429.295,34.317588,-83.818497
Hancock County GA,GA,13141.0,Hancock,Sparta,"9,429","1,222.06",471.841,17.715,6.84,"1,239.78",478.681,33.26922,-83.000465
Haralson County GA,GA,13143.0,Haralson,Buchanan,"28,780",730.804,282.165,2.616,1.01,733.42,283.175,33.795165,-85.220062
Harris County GA,GA,13145.0,Harris,Hamilton,"32,024","1,201.41",463.869,23.536,9.087,"1,224.95",472.956,32.731549,-84.912432
Hart County GA,GA,13147.0,Hart,Hartwell,"25,213",601.897,232.394,63.595,24.554,665.492,256.948,34.348733,-82.96329
Heard County GA,GA,13149.0,Heard,Franklin,"11,834",766.715,296.03,13.116,5.064,779.831,301.094,33.290968,-85.139594
Henry County GA,GA,13151.0,Henry,McDonough,"203,922",834.305,322.127,11.448,4.42,845.752,326.547,33.452881,-84.15444
Houston County GA,GA,13153.0,Houston,Perry,"139,900",972.646,375.541,11.345,4.38,983.991,379.921,32.458381,-83.662856
Irwin County GA,GA,13155.0,Irwin,Ocilla,"9,538",917.744,354.343,21.808,8.42,939.551,362.763,31.604306,-83.277037
Jackson County GA,GA,13157.0,Jackson,Jefferson,"60,485",879.723,339.663,8.9,3.436,888.623,343.099,34.134157,-83.565133
Jasper County GA,GA,13159.0,Jasper,Monticello,"13,900",953.543,368.165,13.726,5.3,967.269,373.465,33.314905,-83.687892
Jeff Davis County GA,GA,13161.0,Jeff Davis,Hazlehurst,"15,068",856.613,330.74,12.064,4.658,868.677,335.398,31.811615,-82.636825
Jefferson County GA,GA,13163.0,Jefferson,Louisville,"16,930","1,363.59",526.485,8.242,3.182,"1,371.83",529.667,33.051874,-82.41905
Jenkins County GA,GA,13165.0,Jenkins,Millen,"8,340",899.449,347.279,13.452,5.194,912.901,352.473,32.794563,-81.971524
Johnson County GA,GA,13167.0,Johnson,Wrightsville,"9,980",784.793,303.01,9.279,3.582,794.072,306.592,32.689831,-82.661354
Jones County GA,GA,13169.0,Jones,Gray,"28,669","1,020.28",393.933,3.843,1.484,"1,024.12",395.417,33.020226,-83.562339
Lamar County GA,GA,13171.0,Lamar,Barnesville,"18,317",475.263,183.5,6.046,2.334,481.309,185.834,33.07446,-84.146721
Lanier County GA,GA,13173.0,Lanier,Lakeland,"10,078",479.824,185.261,37.625,14.527,517.45,199.788,31.038197,-83.063164
Laurens County GA,GA,13175.0,Laurens,Dublin,"48,434","2,090.89",807.296,28.942,11.175,"2,119.83",818.471,32.39322,-82.926317
Lee County GA,GA,13177.0,Lee,Leesburg,"28,298",921.476,355.784,15.408,5.949,936.884,361.733,31.818419,-84.146681
Liberty County GA,GA,13179.0,Liberty,Hinesville,"63,453","1,268.58",489.801,291.96,112.726,"1,560.54",602.527,31.807245,-81.457969
Lincoln County GA,GA,13181.0,Lincoln,Lincolnton,"7,996",544.881,210.38,121.517,46.918,666.398,257.298,33.792151,-82.448299
Long County GA,GA,13183.0,Long,Ludowici,"14,464","1,036.76",400.293,9.116,3.52,"1,045.87",403.813,31.749563,-81.74287
Lowndes County GA,GA,13185.0,Lowndes,Valdosta,"109,233","1,284.81",496.066,37.579,14.509,"1,322.38",510.575,30.83368,-83.268967
Lumpkin County GA,GA,13187.0,Lumpkin,Dahlonega,"29,966",732.793,282.933,3.273,1.264,736.066,284.197,34.568149,-83.998828
McDuffie County GA,GA,13189.0,McDuffie,Thomson,"21,875",666.82,257.461,23.121,8.927,689.941,266.388,33.482464,-82.473188
McIntosh County GA,GA,13191.0,McIntosh,Darien,"14,333","1,098.93",424.299,387.448,149.594,"1,486.38",573.893,31.482978,-81.370199
Macon County GA,GA,13193.0,Macon,Oglethorpe,"14,740","1,037.65",400.641,13.859,5.351,"1,051.51",405.992,32.366216,-84.052162
Madison County GA,GA,13195.0,Madison,Danielsville,"28,120",731.182,282.311,8.487,3.277,739.669,285.588,34.128486,-83.203637
Marion County GA,GA,13197.0,Marion,Buena Vista,"8,742",947.944,366.003,3.825,1.477,951.77,367.48,32.359538,-84.529561
Meriwether County GA,GA,13199.0,Meriwether,Greenville,"21,992","1,298.16",501.223,10.834,4.183,"1,309.00",505.406,33.03022,-84.663279
Miller County GA,GA,13201.0,Miller,Colquitt,"6,125",731.467,282.421,3.216,1.242,734.683,283.663,31.162908,-84.730386
Mitchell County GA,GA,13205.0,Mitchell,Camilla,"23,498","1,326.29",512.085,4.504,1.739,"1,330.80",513.824,31.22894,-84.192407
Monroe County GA,GA,13207.0,Monroe,Forsyth,"26,424","1,024.75",395.658,5.575,2.153,"1,030.33",397.811,33.017435,-83.922938
Montgomery County GA,GA,13209.0,Montgomery,Mount Vernon,"9,123",620.363,239.523,13.389,5.169,633.752,244.692,32.172108,-82.533349
Morgan County GA,GA,13211.0,Morgan,Madison,"17,868",899.631,347.349,18.832,7.271,918.463,354.62,33.593732,-83.492324
Murray County GA,GA,13213.0,Murray,Chatsworth,"39,628",892.164,344.466,5.688,2.196,897.852,346.662,34.797097,-84.73799
Muscogee County GA,GA,13215.0,Muscogee,Columbus,"189,885",560.435,216.385,11.969,4.621,572.404,221.006,32.510197,-84.874946
Newton County GA,GA,13217.0,Newton,Covington,"99,958",704.895,272.161,18.225,7.037,723.119,279.198,33.544046,-83.855189
Oconee County GA,GA,13219.0,Oconee,Watkinsville,"32,808",477.308,184.29,5.393,2.082,482.701,186.372,33.834125,-83.437728
Oglethorpe County GA,GA,13221.0,Oglethorpe,Lexington,"14,899","1,137.04",439.012,7.839,3.027,"1,144.87",442.039,33.866806,-83.074081
Paulding County GA,GA,13223.0,Paulding,Dallas,"142,324",808.643,312.219,5.498,2.123,814.141,314.342,33.920903,-84.866979
Peach County GA,GA,13225.0,Peach,Fort Valley,"27,695",389.191,150.267,2.676,1.033,391.867,151.3,32.571324,-83.831978
Pickens County GA,GA,13227.0,Pickens,Jasper,"29,431",601.026,232.057,1.696,0.655,602.722,232.712,34.456621,-84.490256
Pierce County GA,GA,13229.0,Pierce,Blackshear,"18,758",819.715,316.494,69.246,26.736,888.961,343.23,31.353988,-82.210427
Pike County GA,GA,13231.0,Pike,Zebulon,"17,869",559.659,216.086,8.597,3.319,568.256,219.405,33.090769,-84.386627
Polk County GA,GA,13233.0,Polk,Cedartown,"41,475",803.755,310.331,4.686,1.809,808.441,312.14,33.995961,-85.186826
Pulaski County GA,GA,13235.0,Pulaski,Hawkinsville,"12,010",644.987,249.031,5.635,2.176,650.622,251.207,32.238794,-83.481855
Putnam County GA,GA,13237.0,Putnam,Eatonton,"21,218",892.611,344.639,41.563,16.048,934.174,360.687,33.321061,-83.37179
Quitman County GA,GA,13239.0,Quitman,Georgetown,"2,513",391.703,151.237,24.158,9.328,415.861,160.565,31.861487,-85.009317
Rabun County GA,GA,13241.0,Rabun,Clayton,"16,276",958.277,369.993,17.845,6.89,976.122,376.883,34.883026,-83.404735
Randolph County GA,GA,13243.0,Randolph,Cuthbert,"7,719","1,109.13",428.236,6.83,2.637,"1,115.96",430.873,31.762651,-84.752311
Richmond County GA,GA,13245.0,Richmond,Augusta,"200,549",840,324.326,11.047,4.265,851.047,328.591,33.361487,-82.074998
Rockdale County GA,GA,13247.0,Rockdale,Conyers,"85,215",336.162,129.793,5.97,2.305,342.132,132.098,33.652081,-84.02637
Schley County GA,GA,13249.0,Schley,Ellaville,"5,010",432.284,166.906,2.376,0.918,434.66,167.824,32.263441,-84.322724
Screven County GA,GA,13251.0,Screven,Sylvania,"14,593","1,670.80",645.101,27.889,10.768,"1,698.69",655.869,32.744751,-81.617585
Seminole County GA,GA,13253.0,Seminole,Donalsonville,"8,729",609.233,235.226,55.244,21.33,664.477,256.556,30.933894,-84.867592
Spalding County GA,GA,13255.0,Spalding,Griffin,"64,073",508.852,196.469,8.085,3.122,516.937,199.591,33.262389,-84.286067
Stephens County GA,GA,13257.0,Stephens,Toccoa,"26,175",463.948,179.131,13.122,5.066,477.07,184.197,34.552914,-83.290216
Stewart County GA,GA,13259.0,Stewart,Lumpkin,"6,058","1,188.11",458.733,12.637,4.879,"1,200.75",463.612,32.073225,-84.834912
Sumter County GA,GA,13261.0,Sumter,Americus,"32,819","1,250.18",482.697,25.788,9.957,"1,275.97",492.654,32.042203,-84.204283
Talbot County GA,GA,13263.0,Talbot,Talbotton,"6,865","1,013.69",391.389,8.737,3.373,"1,022.43",394.762,32.704603,-84.530029
Taliaferro County GA,GA,13265.0,Taliaferro,Crawfordville,"1,717",504.032,194.608,1.916,0.74,505.947,195.348,33.559314,-82.875208
Tattnall County GA,GA,13267.0,Tattnall,Reidsville,"25,520","1,241.65",479.403,23.169,8.946,"1,264.82",488.349,32.043768,-82.059208
Taylor County GA,GA,13269.0,Taylor,Butler,"8,906",975.612,376.686,7.804,3.013,983.416,379.699,32.554667,-84.251426
Telfair County GA,GA,13271.0,Telfair,McRae,"16,500","1,132.61",437.303,17.367,6.705,"1,149.98",444.008,31.913639,-82.931062
Terrell County GA,GA,13273.0,Terrell,Dawson,"9,315",868.784,335.439,5.863,2.264,874.647,337.703,31.777191,-84.439446
Thomas County GA,GA,13275.0,Thomas,Thomasville,"44,720","1,410.50",544.596,19.742,7.623,"1,430.24",552.219,30.864616,-83.919783
Tift County GA,GA,13277.0,Tift,Tifton,"40,118",670.586,258.915,25.575,9.875,696.161,268.79,31.457003,-83.525931
Toombs County GA,GA,13279.0,Toombs,Lyons,"27,223",942.768,364.005,18.099,6.988,960.867,370.993,32.126698,-82.332071
Towns County GA,GA,13281.0,Towns,Hiawassee,"10,471",431.396,166.563,14.038,5.42,445.433,171.983,34.90265,-83.732158
Treutlen County GA,GA,13283.0,Treutlen,Soperton,"6,885",516.537,199.436,7.806,3.014,524.342,202.45,32.409586,-82.570882
Troup County GA,GA,13285.0,Troup,La Grange,"67,044","1,072.22",413.988,82.812,31.974,"1,155.04",445.962,33.034482,-85.02836
Turner County GA,GA,13287.0,Turner,Ashburn,"8,930",739.165,285.393,11.881,4.587,751.046,289.98,31.718232,-83.628567
Twiggs County GA,GA,13289.0,Twiggs,Jeffersonville,"9,023",928.246,358.398,10.972,4.236,939.218,362.634,32.665847,-83.425879
Union County GA,GA,13291.0,Union,Blairsville,"21,356",833.785,321.926,18.333,7.078,852.118,329.004,34.83377,-83.989573
Upson County GA,GA,13293.0,Upson,Thomaston,"27,153",837.697,323.437,10.663,4.117,848.36,327.554,32.881837,-84.292281
Walker County GA,GA,13295.0,Walker,La Fayette,"68,756","1,156.12",446.379,1.673,0.646,"1,157.79",447.025,34.735827,-85.305385
Walton County GA,GA,13297.0,Walton,Monroe,"83,768",843.508,325.68,11.188,4.32,854.696,330,33.782649,-83.734215
Ware County GA,GA,13299.0,Ware,Waycross,"36,312","2,311.46",892.461,40.216,15.527,"2,351.68",907.988,31.050881,-82.421507
Warren County GA,GA,13301.0,Warren,Warrenton,"5,834",736.329,284.298,6.19,2.39,742.518,286.688,33.419169,-82.688012
Washington County GA,GA,13303.0,Washington,Sandersville,"21,187","1,757.18",678.452,15.29,5.904,"1,772.47",684.356,32.971848,-82.798112
Wayne County GA,GA,13305.0,Wayne,Jesup,"30,099","1,662.19",641.777,18.18,7.019,"1,680.37",648.796,31.547845,-81.912376
Webster County GA,GA,13307.0,Webster,Preston,"2,799",541.614,209.118,2.966,1.145,544.58,210.263,32.046554,-84.553218
Wheeler County GA,GA,13309.0,Wheeler,Alamo,"7,421",765.301,295.484,12.39,4.784,777.691,300.268,32.109276,-82.738701
White County GA,GA,13311.0,White,Cleveland,"27,144",623.375,240.686,3.94,1.521,627.315,242.207,34.643677,-83.743713
Whitfield County GA,GA,13313.0,Whitfield,Dalton,"102,599",752.297,290.464,1.53,0.591,753.827,291.055,34.801726,-84.968541
Wilcox County GA,GA,13315.0,Wilcox,Abbeville,"9,255",978.25,377.705,11.444,4.419,989.694,382.124,31.962717,-83.438262
Wilkes County GA,GA,13317.0,Wilkes,Washington,"10,593","1,215.97",469.49,11.925,4.604,"1,227.90",474.094,33.77904,-82.747922
Wilkinson County GA,GA,13319.0,Wilkinson,Irwinton,"9,563","1,158.52",447.308,12.023,4.642,"1,170.55",451.95,32.804321,-83.175587
Worth County GA,GA,13321.0,Worth,Sylvester,"21,679","1,478.11",570.702,10.498,4.053,"1,488.61",574.755,31.551773,-83.84996
Hawaiʻi County HI,HI,15001.0,Hawaiʻi,Hilo,"185,079","10,433.55","4,028.42","2,739.47","1,057.72","13,173.02","5,086.13",19.597764,-155.502443
Honolulu County HI,HI,15003.0,Honolulu,Honolulu,"953,207","1,555.92",600.743,"3,955.76","1,527.33","5,511.68","2,128.07",21.461364,-158.201976
Kalawao County HI,HI,15005.0,Kalawao [8],— [8],90,31.058,11.991,105.77,40.838,136.827,52.829,21.218764,-156.97401
Kauaʻi County HI,HI,15007.0,Kauaʻi,Līhuʻe,"67,091","1,605.68",619.956,"1,674.18",646.403,"3,279.86","1,266.36",22.012038,-159.705965
Maui County HI,HI,15009.0,Maui,Wailuku,"154,834","3,008.33","1,161.52","3,203.32","1,236.81","6,211.64","2,398.33",20.855931,-156.60155
Ada County ID,ID,16001.0,Ada,Boise,"392,365","2,726.16","1,052.58",20.425,7.886,"2,746.58","1,060.46",43.447861,-116.244456
Adams County ID,ID,16003.0,Adams,Council,"3,976","3,530.30","1,363.06",17.392,6.715,"3,547.69","1,369.77",44.884583,-116.431873
Bannock County ID,ID,16005.0,Bannock,Pocatello,"82,839","2,880.04","1,111.99",91.801,35.444,"2,971.84","1,147.43",42.692939,-112.228986
Bear Lake County ID,ID,16007.0,Bear Lake,Paris,"5,986","2,524.68",974.785,193.274,74.623,"2,717.96","1,049.41",42.285833,-111.327445
Benewah County ID,ID,16009.0,Benewah,St. Maries,"9,285","2,011.43",776.617,18.988,7.331,"2,030.42",783.948,47.218451,-116.633541
Bingham County ID,ID,16011.0,Bingham,Blackfoot,"45,607","5,423.38","2,093.98",68.448,26.428,"5,491.83","2,120.41",43.216357,-112.399206
Blaine County ID,ID,16013.0,Blaine,Hailey,"21,376","6,846.86","2,643.59",44.341,17.12,"6,891.20","2,660.71",43.394482,-113.95529
Boise County ID,ID,16015.0,Boise,Idaho City,"7,028","4,919.00","1,899.24",19.293,7.449,"4,938.29","1,906.69",43.987275,-115.715111
Bonner County ID,ID,16017.0,Bonner,Sandpoint,"40,877","4,492.52","1,734.57",478.956,184.926,"4,971.48","1,919.50",48.312512,-116.59694
Bonneville County ID,ID,16019.0,Bonneville,Idaho Falls,"104,234","4,833.12","1,866.08",89.507,34.559,"4,922.62","1,900.64",43.395171,-111.621878
Boundary County ID,ID,16021.0,Boundary,Bonners Ferry,"10,972","3,285.56","1,268.56",24.081,9.298,"3,309.64","1,277.86",48.773065,-116.524619
Butte County ID,ID,16023.0,Butte,Arco,"2,891","5,779.99","2,231.67",5.258,2.03,"5,785.25","2,233.70",43.6851,-113.177627
Camas County ID,ID,16025.0,Camas,Fairfield,"1,117","2,782.93","1,074.49",11.535,4.454,"2,794.46","1,078.95",43.463396,-114.804427
Canyon County ID,ID,16027.0,Canyon,Caldwell,"188,923","1,521.28",587.37,41.9,16.178,"1,563.18",603.548,43.623051,-116.708527
Caribou County ID,ID,16029.0,Caribou,Soda Springs,"6,963","4,569.12","1,764.15",89.171,34.429,"4,658.29","1,798.58",42.786273,-111.544172
Cassia County ID,ID,16031.0,Cassia,Burley,"22,952","6,643.53","2,565.08",39.371,15.201,"6,682.90","2,580.28",42.288635,-113.605498
Clark County ID,ID,16033.0,Clark,Dubois,982,"4,569.22","1,764.19",2.477,0.956,"4,571.70","1,765.14",44.286251,-112.36112
Clearwater County ID,ID,16035.0,Clearwater,Orofino,"8,761","6,364.31","2,457.27",79.545,30.712,"6,443.85","2,487.99",46.67257,-115.6535
Custer County ID,ID,16037.0,Custer,Challis,"4,368","12,745.18","4,920.94",42.387,16.366,"12,787.56","4,937.31",44.273341,-114.252251
Elmore County ID,ID,16039.0,Elmore,Mountain Home,"27,038","7,963.53","3,074.74",67.385,26.017,"8,030.92","3,100.76",43.394826,-115.470751
Franklin County ID,ID,16041.0,Franklin,Preston,"12,786","1,718.83",663.645,12.169,4.699,"1,731.00",668.344,42.173589,-111.822955
Fremont County ID,ID,16043.0,Fremont,St. Anthony,"13,242","4,826.51","1,863.53",83.292,32.159,"4,909.80","1,895.68",44.218091,-111.484429
Gem County ID,ID,16045.0,Gem,Emmett,"16,719","1,452.73",560.9,12.445,4.805,"1,465.17",565.705,44.061473,-116.398784
Gooding County ID,ID,16047.0,Gooding,Gooding,"15,464","1,888.03",728.973,12.29,4.745,"1,900.32",733.718,42.973185,-114.82142
Idaho County ID,ID,16049.0,Idaho,Grangeville,"16,267","21,956.24","8,477.35",67.336,25.998,"22,023.58","8,503.35",45.849237,-115.467376
Jefferson County ID,ID,16051.0,Jefferson,Rigby,"26,140","2,832.16","1,093.50",31.268,12.073,"2,863.42","1,105.57",43.796965,-112.318588
Jerome County ID,ID,16053.0,Jerome,Jerome,"22,374","1,546.70",597.185,12.864,4.967,"1,559.57",602.152,42.691172,-114.263009
Kootenai County ID,ID,16055.0,Kootenai,Coeur d'Alene,"138,494","3,222.27","1,244.13",185.18,71.498,"3,407.45","1,315.62",47.677113,-116.694918
Latah County ID,ID,16057.0,Latah,Moscow,"37,244","2,786.82","1,076.00",2.373,0.916,"2,789.19","1,076.91",46.81892,-116.730974
Lemhi County ID,ID,16059.0,Lemhi,Salmon,"7,936","11,819.12","4,563.39",13.894,5.365,"11,833.01","4,568.75",44.928789,-113.887841
Lewis County ID,ID,16061.0,Lewis,Nezperce,"3,821","1,240.07",478.795,2.444,0.944,"1,242.52",479.739,46.236328,-116.42376
Lincoln County ID,ID,16063.0,Lincoln,Shoshone,"5,208","3,111.63","1,201.41",11.608,4.482,"3,123.23","1,205.89",42.986181,-114.153899
Madison County ID,ID,16065.0,Madison,Rexburg,"37,536","1,215.24",469.206,10.412,4.02,"1,225.65",473.226,43.789709,-111.65655
Minidoka County ID,ID,16067.0,Minidoka,Rupert,"20,069","1,962.15",757.591,13.821,5.336,"1,975.97",762.927,42.856937,-113.64001
Nez Perce County ID,ID,16069.0,Nez Perce,Lewiston,"39,265","2,196.55",848.092,21.213,8.19,"2,217.76",856.282,46.333766,-116.760903
Oneida County ID,ID,16071.0,Oneida,Malad City,"4,286","3,108.14","1,200.06",3.995,1.543,"3,112.14","1,201.60",42.18389,-112.520465
Owyhee County ID,ID,16073.0,Owyhee,Murphy,"11,526","19,853.58","7,665.51",81.509,31.471,"19,935.09","7,696.98",42.593063,-116.142655
Payette County ID,ID,16075.0,Payette,Payette,"22,623","1,053.78",406.867,8.827,3.408,"1,062.61",410.275,44.00274,-116.748655
Power County ID,ID,16077.0,Power,American Falls,"7,817","3,636.97","1,404.24",99.513,38.422,"3,736.49","1,442.67",42.694126,-112.844407
Shoshone County ID,ID,16079.0,Shoshone,Wallace,"12,765","6,810.80","2,629.67",14.137,5.458,"6,824.94","2,635.12",47.347694,-115.885092
Teton County ID,ID,16081.0,Teton,Driggs,"10,170","1,164.08",449.456,2.859,1.104,"1,166.94",450.56,43.760994,-111.211765
Twin Falls County ID,ID,16083.0,Twin Falls,Twin Falls,"77,230","4,975.92","1,921.21",18.418,7.111,"4,994.34","1,928.32",42.352309,-114.665639
Valley County ID,ID,16085.0,Valley,Cascade,"9,862","9,491.05","3,664.52",177.273,68.446,"9,668.32","3,732.96",44.771532,-115.637875
Washington County ID,ID,16087.0,Washington,Weiser,"10,198","3,763.21","1,452.98",53.213,20.546,"3,816.42","1,473.53",44.448213,-116.79783
Adams County IL,IL,17001.0,Adams,Quincy,"67,103","2,214.96",855.202,41.793,16.136,"2,256.76",871.338,39.986053,-91.194961
Alexander County IL,IL,17003.0,Alexander,Cairo,"8,238",609.966,235.509,44.268,17.092,654.234,252.601,37.183683,-89.349506
Bond County IL,IL,17005.0,Bond,Greenville,"17,768",984.919,380.279,6.426,2.481,991.345,382.76,38.885924,-89.436592
Boone County IL,IL,17007.0,Boone,Belvidere,"54,165",727.06,280.719,3.381,1.305,730.441,282.024,42.318983,-88.824295
Brown County IL,IL,17009.0,Brown,Mount Sterling,"6,937",791.518,305.607,4.139,1.598,795.658,307.205,39.962069,-90.75031
Bureau County IL,IL,17011.0,Bureau,Princeton,"34,978","2,250.78",869.031,11.584,4.472,"2,262.36",873.503,41.401304,-89.528377
Calhoun County IL,IL,17013.0,Calhoun,Hardin,"5,089",657.403,253.825,77.057,29.752,734.46,283.577,39.164262,-90.666295
Carroll County IL,IL,17015.0,Carroll,Mount Carroll,"15,387","1,152.05",444.807,55.822,21.553,"1,207.87",466.36,42.059084,-89.926485
Cass County IL,IL,17017.0,Cass,Virginia,"13,642",973.365,375.818,20.582,7.947,993.947,383.765,39.969202,-90.245705
Champaign County IL,IL,17019.0,Champaign,Urbana,"201,081","2,580.32",996.266,5.509,2.127,"2,585.83",998.393,40.13915,-88.197201
Christian County IL,IL,17021.0,Christian,Taylorville,"34,800","1,837.28",709.377,16.221,6.263,"1,853.50",715.64,39.545524,-89.279593
Clark County IL,IL,17023.0,Clark,Marshall,"16,335","1,298.67",501.418,8.807,3.4,"1,307.47",504.818,39.332364,-87.791687
Clay County IL,IL,17025.0,Clay,Louisville,"13,815","1,212.93",468.316,3.305,1.276,"1,216.24",469.592,38.747312,-88.483789
Clinton County IL,IL,17027.0,Clinton,Carlyle,"37,762","1,227.87",474.085,75.592,29.186,"1,303.47",503.271,38.606423,-89.423136
Coles County IL,IL,17029.0,Coles,Charleston,"53,873","1,316.47",508.291,4.625,1.786,"1,321.09",510.077,39.51368,-88.220782
Cook County IL,IL,17031.0,Cook,Chicago,"5,194,675","2,448.38",945.326,"1,785.88",689.533,"4,234.27","1,634.86",41.894294,-87.645455
Crawford County IL,IL,17033.0,Crawford,Robinson,"19,817","1,148.99",443.629,5.67,2.189,"1,154.67",445.818,39.00373,-87.757172
Cumberland County IL,IL,17035.0,Cumberland,Toledo,"11,048",896.199,346.024,2.536,0.979,898.734,347.003,39.273121,-88.240619
DeKalb County IL,IL,17037.0,DeKalb,Clinton,"105,160","1,635.08",631.307,8.684,3.353,"1,643.76",634.66,41.894613,-88.768991
De Witt County IL,IL,17039.0,De Witt,Sycamore,"16,561","1,029.56",397.513,19.609,7.571,"1,049.16",405.084,40.181499,-88.901853
Douglas County IL,IL,17041.0,Douglas,Tuscola,"19,980","1,079.16",416.665,1.449,0.559,"1,080.61",417.224,39.766078,-88.222866
DuPage County IL,IL,17043.0,DuPage,Wheaton,"916,924",848.218,327.499,23.083,8.913,871.302,336.412,41.852058,-88.086038
Edgar County IL,IL,17045.0,Edgar,Paris,"18,576","1,614.53",623.374,1.611,0.622,"1,616.14",623.996,39.679037,-87.74711
Edwards County IL,IL,17047.0,Edwards,Albion,"6,721",576.054,222.416,0.789,0.305,576.843,222.721,38.417095,-88.047941
Effingham County IL,IL,17049.0,Effingham,Effingham,"34,242","1,240.03",478.777,3.183,1.229,"1,243.21",480.006,39.047694,-88.592786
Fayette County IL,IL,17051.0,Fayette,Vandalia,"22,140","1,855.68",716.482,22.95,8.861,"1,878.63",725.343,39.001125,-89.017923
Ford County IL,IL,17053.0,Ford,Paxton,"14,081","1,257.74",485.616,1.622,0.626,"1,259.36",486.242,40.594423,-88.224746
Franklin County IL,IL,17055.0,Franklin,Benton,"39,561","1,059.02",408.889,58.417,22.555,"1,117.44",431.444,37.991848,-88.926246
Fulton County IL,IL,17057.0,Fulton,Lewistown,"37,069","2,241.88",865.595,43.974,16.979,"2,285.86",882.574,40.465688,-90.206793
Gallatin County IL,IL,17059.0,Gallatin,Shawneetown,"5,589",836.75,323.071,13.239,5.111,849.989,328.182,37.768677,-88.227964
Greene County IL,IL,17061.0,Greene,Carrollton,"13,886","1,406.41",543.019,8.425,3.253,"1,414.84",546.272,39.355444,-90.387757
Grundy County IL,IL,17063.0,Grundy,Morris,"50,063","1,082.73",418.043,32.127,12.404,"1,114.85",430.447,41.29241,-88.401055
Hamilton County IL,IL,17065.0,Hamilton,McLeansboro,"8,457","1,125.78",434.665,3.175,1.226,"1,128.95",435.891,38.085226,-88.539005
Hancock County IL,IL,17067.0,Hancock,Carthage,"19,104","2,055.74",793.726,53.536,20.67,"2,109.28",814.396,40.405792,-91.167988
Hardin County IL,IL,17069.0,Hardin,Elizabethtown,"4,320",459.794,177.528,10.491,4.051,470.286,181.579,37.517852,-88.266148
Henderson County IL,IL,17071.0,Henderson,Oquawka,"7,331",981.274,378.872,42.341,16.348,"1,023.61",395.22,40.815141,-90.93848
Henry County IL,IL,17073.0,Henry,Cambridge,"50,486","2,131.52",822.985,6.884,2.658,"2,138.41",825.643,41.350021,-90.130838
Iroquois County IL,IL,17075.0,Iroquois,Watseka,"29,718","2,893.84","1,117.32",4.172,1.611,"2,898.01","1,118.93",40.748867,-87.833601
Jackson County IL,IL,17077.0,Jackson,Murphysboro,"60,218","1,512.76",584.081,47.392,18.298,"1,560.16",602.379,37.786096,-89.381212
